"1","DS","1","lazyfish852","b'$2b$12$.nKVTl6iCSrz9UiDFpehr.4KROT.sSkUzupXaWzVl9dlVLza8znTq'","esat.toraman@example.com","(679)-261-7126"
"2","Opel","1","heavygorilla744","b'$2b$12$8yZFDdrtRCbU4fyerF9qt.C5KTpu2TDyxjPxTtVUjVrtd.tAtlj7y'","jacob.jackson@example.com","071-287-9994"
"3","Peugeot","1","crazymeercat439","b'$2b$12$SZEv0gxSq4DXd3o/.VC90OursQOU3agngaGnMWGRMLhSScLhI9scm'","helder.nascimento@example.com","(83) 6035-4987"
"4","Honda","1","biggoose996","b'$2b$12$qLIj3r9ZYZ4n590c.0XZMuY8vaxHMO/.1EWbwO3EIhTs0NNx/gE1u'","irene.robinson@example.com","08-3774-6346"
"5","Volkswagen","0","whiteswan746","b'$2b$12$3CAJchUjiYvpNzSWpq8RvuEiGE3vprWhe02pc6cSO4z9hoVXfrui.'","mason.lam@example.com","709-729-4612"
"6","Polestar","0","redwolf861","b'$2b$12$dL53BwlFeQvkfiw5XUS1E.Ciy.VqfLD.ls57hBGMnw3/v.tm0GG..'","adem.demirbas@example.com","(083)-765-8441"
"7","Maxus","1","blackbutterfly885","b'$2b$12$p2bX5jpkoUbw35Ga/rYPy.Sd5GQH0HzW72Rjou.aV8KbtbsJiRZy2'","kayla.lawrence@example.com","0118817 242 5875"
"8","Renault","1","greenbird427","b'$2b$12$C9HBTwv4n3yGw0JUF7nk0eK6DQpPXXai7MXbQB3P.fWuc3JW/K28.'","milos.tramper@example.com","(839)-701-8555"
"9","Mazda","1","tinybear442","b'$2b$12$NVGpsDuJfe9hp2reWt05Q.tXPkXS/7S2GHKalg4jTO2OawXVknIUm'","jorge.vicente@example.com","930-415-447"
"10","MG","1","bigbear304","b'$2b$12$dQx9uSiu1FIRj1uoZ11DCurGTlAe27n0T/WMK6QzzXNYi9wpsqy/2'","svenja.hackbarth@example.com","0178-0860654"
"11","Audi","0","greenzebra734","b'$2b$12$rsEcn/ZQJAoUu93JHDF5FuCLNEpoxaoCeblzazcP5cKe.LHfEJSo6'","tonya.kelley@example.com","(439)-935-1095"
"12","smart","0","smallmouse131","b'$2b$12$6MLSA3TG6Z1ZuXyt/IjQKO.0pTCEQhQCTEoVmC4m5kNlPhm0GR5XO'","ulku.pekkan@example.com","(052)-684-9134"
"13","Porsche","1","yellowostrich328","b'$2b$12$A1dvCDM49F9MicBn5RLDhuW5JcdjkzZYomDAbe5OxDDViMUvS9tTS'","abigail.perry@example.com","021-904-8588"
"14","Ford","1","organicsnake210","b'$2b$12$8XqmduFIqYLG4CZlAMX.B.kZbYpZu.nRy2GUwHCZA7WF7Jro7JuXq'","david.duncan@example.com","011-400-4855"
"15","Mercedes Benz","0","bluerabbit669","b'$2b$12$09aDSoT3S1rQjDuwzKgYfOwWLE8hrc5mYVwTlKT6EKb52TYD391w2'","stephen.cole@example.com","071-215-5022"
"16","Chevrolet","0","purplerabbit711","b'$2b$12$eXk9YLDk8ynr3gB652HcheSqZNCykb62fn3GSKNPuQefji140eKuO'","hanna.by@example.com","38745341"
"17","Mitsubishi","1","lazylion182","b'$2b$12$scLJAR.nbRJv24CnwhEaFOWbcmd8LsnLvupnb2gSRo.BptZYiOgp2'","viljami.tanner@example.com","03-436-971"
"18","Mini","1","purplecat795","b'$2b$12$8HCSYA3Dg3iH9ApU4nmpyODeRkWMq7SQRbKcrsfT8rB8V6kEDaXN.'","ceyhun.adal@example.com","(667)-457-7845"
"19","Jaguar","0","silverleopard206","b'$2b$12$eTNmOi45VQv8z6GLOZ1aJuE7.FDlQrPTIjza6bz/qa..AkkC596Rm'","hilla.kivi@example.com","03-678-165"
"20","BMW","0","happyduck788","b'$2b$12$.HEJbNWLq62WFfsDmotzju0.vX.tlNfS2GFLTneRGlFVc7VPwz8cq'","lola.wright@example.com","013873 42760"
