"1","Tesla","0","smallsnake809","$6$rounds=1000$LHsRfKSr8kyfMPB9$DcRF1qWjK8XEzN55vm2DzLOFabERXYDw0agZb5BmlFpthsCFRj1VxwgFne9NvUtyR/LkuZQuPXAGxBTF3Z93Y.","ruben.kallevik@example.com","85575751","1","0"
"2","Mini","1","smallkoala709","$6$rounds=1000$lSVwMN05nIYw.oza$M/UoVc5rbIruMvWpqRUNQ5ZgGvEvS3hbYpoMa13UBSV/83ih.l2YwIcJgERTRtV6Xph4/aMRCeLeklL4f8PhX/","adele.roussel@example.com","05-81-84-11-88","1","0"
"3","Audi","1","silverzebra267","$6$rounds=1000$zVSG9VX.hDZRrwxN$obvSQOCTNy4JyucWHLFE2XM.cQ0wv6cjKVokVaE2Uk4URnQSe0U.SbEGCgO3Gm.kv7qks2X.o3X8UWGTQrKBy1","pwry.njty@example.com","004-86442981","1","0"
"4","Kia","1","heavykoala287","$6$rounds=1000$njl.AEDsKi9xRzEa$oxkQXhLQZt8/JdynAuU1X5PPjNIAyT.Frib8jom1tqDs246dtfgRsTcv13eLqXGtJzLkDTepFqv5.LRrW1/Kk0","danika.ottenheijm@example.com","(464)-561-1438","1","0"
"5","Maxus","0","brownfish909","$6$rounds=1000$05Tob/1t19zDasfY$CIev/xzggZBXUL.oZNjwTrUNF/ZxyZb4XYUtoZ/9H4mGsvo8pDTrw6Z9EfB/IPtmWX7FFLv4UbIZt.Dfu3AE50","alan.myers@example.com","019467 99818","1","0"
"6","MG","1","yellowswan649","$6$rounds=1000$SoXvZmkmO5gX9dUE$GKL9KJb0U1ovdBiObuhpYSw7oASWGgWPVLY4K6LwjKgDS.lLmMDCi2n7X48doArL1nIMyLdXmS7VD.Offbjjc0","adriane.damota@example.com","(33) 5204-1810","1","0"
"7","Skoda","1","smallbutterfly113","$6$rounds=1000$TgCV.c9w40akXjZv$qticjHgyLYVggaoKKf8ia5Bij0CXAinvBUIGKWlhIBUWfhZ5iV38U3BqdKMeocGPBOn/oChDvLD0dukkOjHaM.","hsn.hmdy@example.com","096-47119930","1","0"
"8","smart","0","silverostrich980","$6$rounds=1000$.RcENKKLsKn.Wgag$fyRxedyDHf5bhlWAwiJZCOjm2Me7hrlT33wj0b/U7j4GgSbR7/pJw9bkjYGs6gfTVSv3C2SyMBi.Tcqj647YA1","nadeshda.witt@example.com","0201-1274104","1","0"
"9","Porsche","0","ticklishpanda907","$6$rounds=1000$Pq1udXs6XBJFhfxO$6ujM3ubq5fn3YAYuPHzUVaccoaO8KDFkjIJQ6ChakATpR9aOhjMRjuUCF4XdRd3pnBPRJsYQUhC9GHgBpJ4LA1","ronja.peltola@example.com","07-824-959","1","0"
"10","Polestar","1","ticklishzebra483","$6$rounds=1000$d40EIYLQVaHc21k.$rtloVuDSRy6j2i8jJ0msyiYz7PGaxQfFy.7ZuoWswDjvV9TVDtbDnv4SfH3S.5C5JRR38jgkyBSG8CN/Ne5GM.","xenia.rousseau@example.com","077 731 71 03","1","0"
